"","Date","610","657","653","608","656","mean"
"328",1980-11-23,0,0,0,0,0,0
"329",1980-11-24,0,0,0,0,0,0
"330",1980-11-25,0,0,0,0,0,0
"331",1980-11-26,NA,0,0,0,0,0
"332",1980-11-27,0,0,10,0,0,2
"333",1980-11-28,0,18,14.5,5.5,6.9,8.98
"334",1980-11-29,5.08,8.7,6.8,4.1,7.1,6.356
"335",1980-11-30,1.02,0.6,0,2.9,9.2,2.744
"336",1980-12-01,10.92,0,0,2.5,1.1,2.904
"337",1980-12-02,2.03,0,0,0,0,0.406
"338",1980-12-03,0,0,0,0,0,0
"339",1980-12-04,0,0,0,0,0,0
"340",1980-12-05,0,0,0,0,0,0
"341",1980-12-06,0,4.5,0,7.8,0,2.46
"342",1980-12-07,3.05,0,0,0,0,0.61
"343",1980-12-08,0,0,4,0,0,0.8
"344",1980-12-09,0,0,0,0,0,0
"345",1980-12-10,0,0,0,0,0,0
"346",1980-12-11,0,0,0,0,0,0
"347",1980-12-12,0,0,0,0,0,0
"348",1980-12-13,0,0,0,0,0,0
"349",1980-12-14,0,0,0,0,0,0
"350",1980-12-15,0,0,0,0,0,0
"351",1980-12-16,0,0,0,0,0,0
"352",1980-12-17,0,0,0,0,0,0
"353",1980-12-18,0,0,0,0,0,0
"354",1980-12-19,0,1.5,39.5,23.5,0,12.9
"355",1980-12-20,1.02,21,0,64.5,17.5,20.804
"356",1980-12-21,10.92,0,0,2.8,0,2.744
"357",1980-12-22,0,1.6,20,26.7,0,9.66
"358",1980-12-23,6.1,2.3,0,62.5,0,14.18
"359",1980-12-24,2.03,0,0,0,0,0.406
"360",1980-12-25,0,0,0,0,0,0
"361",1980-12-26,0,0,0,0,0,0
"362",1980-12-27,0,0,0,0,0,0
"363",1980-12-28,0,0,0,0,0,0
"364",1980-12-29,0,0,0,0,0,0
"365",1980-12-30,0,0,0,0,0,0
"366",1980-12-31,0,0,0,3.3,0,0.66
"367",1981-01-01,5.08,0,0,0.6,0,1.136
"368",1981-01-02,0,0,0,0.2,0,0.04
"369",1981-01-03,0,0,0,4,0,0.8
"370",1981-01-04,0,0,0,0,0,0
"371",1981-01-05,0,0,0,0,0,0
"372",1981-01-06,0,0,0,0,0,0
"373",1981-01-07,0,0,0,0,0,0
"374",1981-01-08,0.51,0,0,0,0,0.102
"375",1981-01-09,0,0,0,0,0,0
"376",1981-01-10,0,0,0,0,0,0
"377",1981-01-11,0,0,1,0,0,0.2
"378",1981-01-12,0.51,0,2,0,0,0.502
"379",1981-01-13,0,1.4,0,2,0,0.68
"380",1981-01-14,2.03,0,0,0,0,0.406
"381",1981-01-15,0,0,0,0,0,0
"382",1981-01-16,NA,0,0,0,0,0
"383",1981-01-17,0,0,0,0,0,0
"384",1981-01-18,1.02,0,0,0,0,0.204
"385",1981-01-19,0,0,0,0,0,0
"386",1981-01-20,0,0,0,0,0,0
"387",1981-01-21,0,0,0,0,0,0
"388",1981-01-22,0,0,0,0,0,0
"389",1981-01-23,0,0,0,19.6,12.5,6.42
"390",1981-01-24,6.1,0,3.5,38,9.7,11.46
"391",1981-01-25,0,26,41.5,121.5,80.3,53.86
"392",1981-01-26,40.89,0,0,0,0,8.178
"393",1981-01-27,4.06,0,0,4.7,0,1.752
"394",1981-01-28,3.05,0,0,0,0,0.61
"395",1981-01-29,0,0,0,0,0,0
"396",1981-01-30,0,0,0,0,0,0
"397",1981-01-31,0,0,0,0,0,0
"398",1981-02-01,0,0,0,0,0,0
"399",1981-02-02,NA,0,0,2.3,15.8,4.525
"400",1981-02-03,0,0,0,0,0,0
"401",1981-02-04,0,0,0,0,0,0
"402",1981-02-05,0,0,0,0,0,0
"403",1981-02-06,0,0,0,0,0,0
"404",1981-02-07,0,0,0,0,0,0
"405",1981-02-08,0,0,0,0,0,0
"406",1981-02-09,0,0,0,0,0,0
"407",1981-02-10,0,0,0,0,0,0
"408",1981-02-11,0,0,0,0,0,0
"409",1981-02-12,0,0,0,0,0,0
"410",1981-02-13,0,0,0,0,0,0
"411",1981-02-14,0,0,0,0,0,0
"412",1981-02-15,0,0,0,0,0,0
"413",1981-02-16,0,0,0,0,0,0
"414",1981-02-17,0,0,0,0,0,0
"415",1981-02-18,0,0,0,0,0,0
"416",1981-02-19,NA,0,0,0,0,0
"417",1981-02-20,0,0,0,0,0,0
"418",1981-02-21,0,0,0,0,0,0
"419",1981-02-22,0,0,0,0,0,0
"420",1981-02-23,0,0,0,0,0,0
"421",1981-02-24,0,0,0,0,0,0
"422",1981-02-25,0,0,0,0,0,0
"423",1981-02-26,0,0,0,0,0,0
"424",1981-02-27,0,0,0,0,0,0
"425",1981-02-28,0,0,0,0,0,0
"426",1981-03-01,0,0,0,5.9,0,1.18
"427",1981-03-02,3.05,3.5,0,18.5,0,5.01
"428",1981-03-03,6.1,0,0,0,0,1.22
"429",1981-03-04,0,0,0,0,0,0
"430",1981-03-05,0,0,0,0,0,0
"431",1981-03-06,0,0,0,0,0,0
"432",1981-03-07,0,0,0,0,0,0
"433",1981-03-08,0,0,0,0,0,0
"434",1981-03-09,0,0,0,0,0,0
"435",1981-03-10,0,0,0,0,0,0
"436",1981-03-11,0,0,5,0,0,1
"437",1981-03-12,0,0,0,0,0,0
"438",1981-03-13,0,0,0,0,0,0
"439",1981-03-14,0,0,0,0,0,0
"440",1981-03-15,0,0,0,0,0,0
"441",1981-03-16,1.02,0,0,0,0,0.204
"442",1981-03-17,0,0,0,0,0,0
"443",1981-03-18,0,0,0,0,0,0
"444",1981-03-19,NA,0,0,0,0,0
"445",1981-03-20,0,0,0,0,0,0
"446",1981-03-21,0,0,0,0,0,0
"447",1981-03-22,0,0,0,0,0,0
"448",1981-03-23,1.02,34.5,17.5,45.8,0,19.764
"449",1981-03-24,30.99,0,0,0,0,6.198
"450",1981-03-25,0,0,1,36.2,0.7,7.58
"451",1981-03-26,0,0,0,0,0,0
"452",1981-03-27,0,0,0,0,0,0
"453",1981-03-28,0,0,0,0,0,0
"454",1981-03-29,0,0,0,0,0,0
"455",1981-03-30,0,0,0,0,0,0
"456",1981-03-31,0,0,0,0,0,0
"457",1981-04-01,0,0,0,1.3,0,0.26
"458",1981-04-02,0,0,0,0,0,0
"459",1981-04-03,0,0,0,0,0,0
"460",1981-04-04,0,0,0,0,0,0
"461",1981-04-05,0,0,0,1.7,0,0.34
"462",1981-04-06,0,3.5,0,0.4,0,0.78
"463",1981-04-07,1.02,0,0,0,0,0.204
"464",1981-04-08,1.02,0,0,0,0,0.204
"465",1981-04-09,0,0,0,0,0,0
"466",1981-04-10,0,0,0,0.8,0,0.16
"467",1981-04-11,0,0,0,0,0,0
"468",1981-04-12,0,0,0,0,0,0
"469",1981-04-13,0,0,0,0,0,0
"470",1981-04-14,0,0,0,11,0,2.2
"471",1981-04-15,0,3.7,6,0,0,1.94
"472",1981-04-16,7.87,0,0,0,0,1.574
"473",1981-04-17,0,0,0,0,0,0
"474",1981-04-18,0,0,0,0,0,0
"475",1981-04-19,0,0,0,0,0,0
"476",1981-04-20,0,0,0,0,0,0
"477",1981-04-21,0,0,0,0,0,0
"478",1981-04-22,0,0,0,0,0,0
"479",1981-04-23,0,0,0,2.6,0,0.52
"480",1981-04-24,0.25,0,0,0,0,0.05
"481",1981-04-25,0,0,0,0.8,0,0.16
"482",1981-04-26,0,15.5,29,36.1,12.8,18.68
"483",1981-04-27,39.12,0,1.5,0,0,8.124
"484",1981-04-28,1.02,0,0.5,1.5,0,0.604
"485",1981-04-29,1.02,0,0,0,0,0.204
"486",1981-04-30,0,0,0,0,0,0
"487",1981-05-01,0,0,0,0,0,0
"488",1981-05-02,0,0,0,0,0,0
"489",1981-05-03,0,0,0,0,0,0
"490",1981-05-04,0,0,0,0.7,0,0.14
"491",1981-05-05,0,0,0,0,0,0
"492",1981-05-06,0,0,0,0,0,0
"493",1981-05-07,0,0,0,0,0,0
"494",1981-05-08,0,0,0,0,0,0
"495",1981-05-09,0,0,0,0,0,0
"496",1981-05-10,0,0,0,0,0,0
"497",1981-05-11,0,11,11.5,30.5,1,10.8
"498",1981-05-12,9.91,4,0,4.2,0,3.622
"499",1981-05-13,0,0,0,0,0,0
"500",1981-05-14,0,0,0,0,0,0
"501",1981-05-15,0,0,0,0,0,0
"502",1981-05-16,0,0,0,0,0,0
"503",1981-05-17,0,0,0,0,0,0
"504",1981-05-18,0,0,0,0,0,0
"505",1981-05-19,0,0,0,0,0,0
"506",1981-05-20,0,0,0,0,0,0
"507",1981-05-21,0,0,0,0,0,0
"508",1981-05-22,0,0,0,0,0,0
"509",1981-05-23,0,0,0,0,0,0
"510",1981-05-24,0,0,0,0.9,0,0.18
"511",1981-05-25,0.51,2.5,2.1,4.6,0,1.942
"512",1981-05-26,3.05,0,0,0,0,0.61
"513",1981-05-27,0,0,0,3.6,0.4,0.8
"514",1981-05-28,0.25,0,0,2.5,7,1.95
"515",1981-05-29,0,0,0,0,0,0
"516",1981-05-30,0,0,0,0,0,0
"517",1981-05-31,0,0,0,0,0,0
"518",1981-06-01,0,0,0,0,0,0
"519",1981-06-02,0,0,0,0,0,0
"520",1981-06-03,0,0,2.5,0,0,0.5
"521",1981-06-04,0,11.5,3.5,21.8,0,7.36
"522",1981-06-05,5.08,1,2.5,32.3,0,8.176
"523",1981-06-06,2.03,6,0,2.4,0,2.086
"524",1981-06-07,1.02,0,0,0,0,0.204
"525",1981-06-08,0,0,0,0,0,0
"526",1981-06-09,0,0,0,0,0,0
"527",1981-06-10,0,0,0,0,0,0
"528",1981-06-11,0,0,0,0,0,0
"529",1981-06-12,0,0,0,0,0,0
"530",1981-06-13,0,0,0,0,0,0
"531",1981-06-14,0,2.5,0,1.8,0,0.86
"532",1981-06-15,2.03,0,0,0,0,0.406
"533",1981-06-16,0,0,0,0,0,0
"534",1981-06-17,0,0,0,0,0,0
"535",1981-06-18,0,0,0,0,0,0
"536",1981-06-19,0,0.5,15.3,0,0,3.16
"537",1981-06-20,3.05,17,0,97,10,25.41
"538",1981-06-21,30.99,0,0,0.7,0,6.338
"539",1981-06-22,0,0,0,0,0,0
"540",1981-06-23,0,0,0,0,0,0
"541",1981-06-24,0,0,0,1.2,0,0.24
"542",1981-06-25,2.03,1,0,2.5,0,1.106
"543",1981-06-26,1.02,5,1.7,8.8,0,3.304
"544",1981-06-27,3.05,0,3,11,0,3.41
"545",1981-06-28,1.02,0.5,0,0,0,0.304
"546",1981-06-29,0,3,0,11.5,0,2.9
"547",1981-06-30,5.08,6.5,0,25.4,0,7.396
"548",1981-07-01,3.05,1,0.3,2.7,0,1.41
"549",1981-07-02,1.02,0,0,0,0,0.204
"550",1981-07-03,0,0,0,0,0,0
"551",1981-07-04,0,0,0,0,0,0
"552",1981-07-05,0,0,0,0,0,0
"553",1981-07-06,0,25,24.5,92.7,12.9,31.02
"554",1981-07-07,35.05,6,3,1.3,0,9.07
"555",1981-07-08,2.03,0,0,0,0,0.406
"556",1981-07-09,0,0,0,0,0,0
"557",1981-07-10,0,16.5,16,37.5,19.6,17.92
"558",1981-07-11,10.92,1.2,1,12.5,0,5.124
"559",1981-07-12,1.02,16,20,66.7,6.9,22.124
"560",1981-07-13,28.96,0,0,0,0,5.792
"561",1981-07-14,0,0,0,0,0,0
"562",1981-07-15,NA,0,0,0,0,0
"563",1981-07-16,0,2.5,4.5,15.5,0,4.5
"564",1981-07-17,6.1,0,0,0,0,1.22
"565",1981-07-18,0,0,0,0.4,0,0.08
